Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000552319	Quiscalus mexicanus	64278	13590		Unknown	Metazoa	Chordata	Aves	Passeriformes	Icteridae	Quiscalus	Quiscalus mexicanus
UP000553648	Serilophus lunatus	239386	14091		Unknown	Metazoa	Chordata	Aves	Passeriformes	Eurylaimidae	Serilophus	Serilophus lunatus
UP000553798	Prunella fulvescens	670355	13347		Unknown	Metazoa	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella fulvescens
UP000553862	Molothrus ater	84834	15960		Unknown	Metazoa	Chordata	Aves	Passeriformes	Icteridae	Molothrus	Molothrus ater
UP000554720	Anthoscopus minutus	156561	13552		Unknown	Metazoa	Chordata	Aves	Passeriformes	Paridae	Anthoscopus	Anthoscopus minutus
UP000555275	Podilymbus podiceps	9252	14192		Unknown	Metazoa	Chordata	Aves	Podicipediformes	Podicipedidae	Podilymbus	Podilymbus podiceps
UP000555367	Pelecanoides urinatrix	37079	14741		Unknown	Metazoa	Chordata	Aves	Procellariiformes	Procellariidae	Pelecanoides	Pelecanoides urinatrix
UP000555649	Herpetotheres cachinnans	56343	14321		Unknown	Metazoa	Chordata	Aves	Falconiformes	Falconidae	Herpetotheres	Herpetotheres cachinnans
UP000556165	Phaetusa simplex	297813	13248		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Laridae	Phaetusa	Phaetusa simplex
UP000556200	Neopipo cinnamomea	456388	13978		Unknown	Metazoa	Chordata	Aves	Passeriformes	Tyrannidae	Neopipo	Neopipo cinnamomea
UP000556761	Thalassarche chlororhynchos	54017	11811		Unknown	Metazoa	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	Thalassarche chlororhynchos
UP000557196	Aleadryas rufinucha	461220	13884		Unknown	Metazoa	Chordata	Aves	Passeriformes		Aleadryas	Aleadryas rufinucha
UP000557230	Indicator maculatus	545262	13941		Unknown	Metazoa	Chordata	Aves	Piciformes	Indicatoridae	Indicator	Indicator maculatus
UP000557268	Hylia prasina	208073	13444		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sylviidae	Hylia	Hylia prasina
UP000557271	Chionis minor	227182	14280		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Chionididae	Chionis	Chionis minor
UP000557315	Daphoenositta chrysoptera	254528	13857		Unknown	Metazoa	Chordata	Aves	Passeriformes		Daphoenositta	Daphoenositta chrysoptera
UP000557426	Zapornia atra	2585822	13329		Unknown	Metazoa	Chordata	Aves	Gruiformes	Rallidae	Zapornia	Zapornia atra
UP000558164	Leptocoma aspasia	2585812	13699		Unknown	Metazoa	Chordata	Aves	Passeriformes	Nectariniidae	Leptocoma	Leptocoma aspasia
UP000558460	Horornis vulcanius	2585811	9840		Unknown	Metazoa	Chordata	Aves	Passeriformes	Scotocercidae	Horornis	Horornis vulcanius
UP000558488	Pipistrellus kuhlii	59472	39728		Unknown	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus kuhlii
UP000558509	Thryothorus ludovicianus	74200	13660		Unknown	Metazoa	Chordata	Aves	Passeriformes	Certhiidae	Thryothorus	Thryothorus ludovicianus
UP000558958	Sakesphorus luctuosus	419690	14098		Unknown	Metazoa	Chordata	Aves	Passeriformes	Thamnophilidae	Sakesphorus	Sakesphorus luctuosus
UP000559068	Aegotheles bennettii	48278	13683		Unknown	Metazoa	Chordata	Aves	Caprimulgiformes	Aegothelidae	Aegotheles	Aegotheles bennettii
UP000560066	Neodrepanis coruscans	254563	8830		Unknown	Metazoa	Chordata	Aves	Passeriformes	Philepittidae	Neodrepanis	Neodrepanis coruscans
UP000560247	Melospiza melodia	44397	13912		Unknown	Metazoa	Chordata	Aves	Passeriformes	Passerellidae	Melospiza	Melospiza melodia
UP000560386	Ardeotis kori	89386	13689		Unknown	Metazoa	Chordata	Aves	Otidiformes	Otididae	Ardeotis	Ardeotis kori
UP000561178	Rhipidura dahli	667186	14156		Unknown	Metazoa	Chordata	Aves	Passeriformes	Rhipiduridae	Rhipidura	Rhipidura dahli
UP000562238	Circaetus pectoralis	321084	14132		Unknown	Metazoa	Chordata	Aves	Accipitriformes	Accipitridae	Circaetus	Circaetus pectoralis
UP000562322	Alectura lathami	81907	13377		Unknown	Metazoa	Chordata	Aves	Galliformes	Megapodiidae	Alectura	Alectura lathami
UP000562415	Probosciger aterrimus	141839	13967		Unknown	Metazoa	Chordata	Aves	Psittaciformes	Cacatuidae	Probosciger	Probosciger aterrimus
UP000563060	Fregetta grallaria	79628	13503		Unknown	Metazoa	Chordata	Aves	Procellariiformes		Fregetta	Fregetta grallaria
UP000563107	Chaetops frenatus	221966	13217		Unknown	Metazoa	Chordata	Aves	Passeriformes	Picathartidae	Chaetops	Chaetops frenatus
UP000564407	Malurus elegans	720584	14016		Unknown	Metazoa	Chordata	Aves	Passeriformes	Maluridae	Malurus	Malurus elegans
UP000564466	Oxyruncus cristatus	114331	14018		Close to standard (high value)	Metazoa	Chordata	Aves	Passeriformes	Cotingidae	Oxyruncus	Oxyruncus cristatus
UP000564784	Loxia curvirostra	64802	14544		Unknown	Metazoa	Chordata	Aves	Passeriformes	Fringillidae	Loxia	Loxia curvirostra
UP000564948	Rhagologus leucostigma	156170	14205		Unknown	Metazoa	Chordata	Aves	Passeriformes		Rhagologus	Rhagologus leucostigma
UP000565207	Pedionomus torquatus	227192	13302		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Pedionomidae	Pedionomus	Pedionomus torquatus
UP000565698	Thinocorus orbignyianus	161742	14037		Unknown	Metazoa	Chordata	Aves	Ciconiiformes	Thinocoridae	Thinocorus	Thinocorus orbignyianus
UP000565754	Oenanthe oenanthe	279966	13538		Unknown	Metazoa	Chordata	Aves	Passeriformes	Muscicapidae	Oenanthe	Oenanthe oenanthe
UP000565785	Rhinopomastus cyanomelas	113115	14764		Unknown	Metazoa	Chordata	Aves	Bucerotiformes	Rhinopomastidae	Rhinopomastus	Rhinopomastus cyanomelas
UP000566314	Buphagus erythrorhynchus	245048	11060		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sturnidae	Buphagus	Buphagus erythrorhynchus
UP000566440	Galbula dea	1109041	14637		Unknown	Metazoa	Chordata	Aves	Piciformes	Galbulidae	Galbula	Galbula dea
UP000566454	Prunella himalayana	670356	13876		Unknown	Metazoa	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella himalayana
UP000567570	Aramus guarauna	54356	14274		Unknown	Metazoa	Chordata	Aves	Gruiformes	Aramidae	Aramus	Aramus guarauna
UP000567624	Smithornis capensis	363769	13835		Unknown	Metazoa	Chordata	Aves	Passeriformes	Eurylaimidae	Smithornis	Smithornis capensis
UP000567822	Sylvietta virens	208069	13764		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sylviidae	Sylvietta	Sylvietta virens
UP000567826	Nyctibius grandis	48427	14050		Unknown	Metazoa	Chordata	Aves	Caprimulgiformes	Nyctibiidae	Nyctibius	Nyctibius grandis
UP000567872	Anseranas semipalmata	8851	14206		Unknown	Metazoa	Chordata	Aves	Anseriformes	Anseranatidae	Anseranas	Anseranas semipalmata
UP000568556	Chordeiles acutipennis	118183	14023		Unknown	Metazoa	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Chordeiles	Chordeiles acutipennis
UP000569728	Oceanites oceanicus	79653	14204		Unknown	Metazoa	Chordata	Aves	Procellariiformes		Oceanites	Oceanites oceanicus
UP000570016	Rhynochetos jubatus	54386	13676		Unknown	Metazoa	Chordata	Aves	Eurypygiformes	Rhynochetidae	Rhynochetos	Rhynochetos jubatus
UP000570288	Oxylabes madagascariensis	98144	8969		Unknown	Metazoa	Chordata	Aves	Passeriformes	Timaliidae	Oxylabes	Oxylabes madagascariensis
UP000570547	Pachycephala philippinensis	449367	13318		Unknown	Metazoa	Chordata	Aves	Passeriformes		Pachycephala	Pachycephala philippinensis
UP000570592	Pardalotus punctatus	254575	13660		Unknown	Metazoa	Chordata	Aves	Passeriformes	Pardalotidae	Pardalotus	Pardalotus punctatus
UP000571324	Origma solitaria	720586	14437		Unknown	Metazoa	Chordata	Aves	Passeriformes	Acanthizidae	Origma	Origma solitaria
UP000571567	Himantopus himantopus	225398	14268		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Recurvirostridae	Himantopus	Himantopus himantopus
UP000571582	Alaudala cheleensis	670337	14234		Unknown	Metazoa	Chordata	Aves	Passeriformes	Alaudidae	Alaudala	Alaudala cheleensis
UP000572057	Helopsaltes ochotensis	3150915	13910		Unknown	Metazoa	Chordata	Aves	Passeriformes	Locustellidae	Helopsaltes	Helopsaltes ochotensis
UP000572325	Sterrhoptilus dennistouni	2585820	13232		Unknown	Metazoa	Chordata	Aves	Passeriformes	Zosteropidae	Sterrhoptilus	Sterrhoptilus dennistouni
UP000572837	Pomatorhinus ruficollis	932028	12947		Unknown	Metazoa	Chordata	Aves	Passeriformes	Timaliidae	Pomatorhinus	Pomatorhinus ruficollis
UP000573697	Polioptila caerulea	66707	13534		Unknown	Metazoa	Chordata	Aves	Passeriformes	Certhiidae	Polioptila	Polioptila caerulea
UP000573793	Loxia leucoptera	96539	13967		Unknown	Metazoa	Chordata	Aves	Passeriformes	Fringillidae	Loxia	Loxia leucoptera
UP000573818	Sylvia atricapilla	48155	13252		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	Sylvia atricapilla
UP000574191	Hypocryptadius cinnamomeus	589841	12372		Unknown	Metazoa	Chordata	Aves	Passeriformes	Zosteropidae	Hypocryptadius	Hypocryptadius cinnamomeus
UP000574210	Rhodinocichla rosea	58203	14100		Unknown	Metazoa	Chordata	Aves	Passeriformes	Thraupidae	Rhodinocichla	Rhodinocichla rosea
UP000574277	Mesembrinibis cayennensis	1118748	13857		Unknown	Metazoa	Chordata	Aves	Pelecaniformes	Threskiornithidae	Mesembrinibis	Mesembrinibis cayennensis
UP000574528	Psilopogon haemacephalus	2585815	13526		Unknown	Metazoa	Chordata	Aves	Piciformes	Megalaimidae	Psilopogon	Psilopogon haemacephalus
UP000574691	Burhinus bistriatus	240201	13960		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Burhinidae	Burhinus	Burhinus bistriatus
UP000574967	Machaerirhynchus nigripectus	1160894	13938		Unknown	Metazoa	Chordata	Aves	Passeriformes	Dicruridae	Machaerirhynchus	Machaerirhynchus nigripectus
UP000575029	Grantiella picta	266360	14054		Unknown	Metazoa	Chordata	Aves	Passeriformes	Meliphagidae	Grantiella	Grantiella picta
UP000575874	Aphelocoma coerulescens	39617	14551		Unknown	Metazoa	Chordata	Aves	Passeriformes	Corvidae	Aphelocoma	Aphelocoma coerulescens
UP000576729	Callaeas wilsoni	1347786	14554		Unknown	Metazoa	Chordata	Aves	Passeriformes	Callaeidae	Callaeas	Callaeas wilsoni
UP000578259	Pheucticus melanocephalus	371919	12775		Unknown	Metazoa	Chordata	Aves	Passeriformes	Cardinalidae	Pheucticus	Pheucticus melanocephalus
UP000578343	Baryphthengus martii	176943	13377		Unknown	Metazoa	Chordata	Aves	Coraciiformes	Momotidae	Baryphthengus	Baryphthengus martii
UP000578766	Cepphus grylle	28697	14757		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Alcidae	Cepphus	Cepphus grylle
UP000579406	Chloroceryle aenea	176938	12192		Unknown	Metazoa	Chordata	Aves	Coraciiformes	Cerylidae	Chloroceryle	Chloroceryle aenea
UP000579558	Notiomystis cincta	366454	13629		Unknown	Metazoa	Chordata	Aves	Passeriformes	Notiomystidae	Notiomystis	Notiomystis cincta
UP000579685	Phainopepla nitens	161653	13527		Unknown	Metazoa	Chordata	Aves	Passeriformes	Bombycillidae	Phainopepla	Phainopepla nitens
UP000579812	Onychostoma macrolepis	369639	24720		Unknown	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Onychostoma	Onychostoma macrolepis
UP000579904	Oreotrochilus melanogaster	689266	12132		Unknown	Metazoa	Chordata	Aves	Apodiformes	Trochilidae	Oreotrochilus	Oreotrochilus melanogaster
UP000579941	Gymnorhina tibicen	9132	14291		Unknown	Metazoa	Chordata	Aves	Passeriformes	Artamidae	Gymnorhina	Gymnorhina tibicen
UP000580171	Pandion haliaetus	56262	12585		Unknown	Metazoa	Chordata	Aves	Accipitriformes	Pandionidae	Pandion	Pandion haliaetus
UP000580681	Emberiza fucata	337179	13193		Unknown	Metazoa	Chordata	Aves	Passeriformes	Fringillidae	Emberiza	Emberiza fucata
UP000580691	Sinosuthora webbiana	337173	14232		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sylviidae	Sinosuthora	Sinosuthora webbiana
UP000580825	Scytalopus superciliaris	312124	13826		Unknown	Metazoa	Chordata	Aves	Passeriformes	Rhinocryptidae	Scytalopus	Scytalopus superciliaris
UP000580879	Climacteris rufus	47695	14074		Unknown	Metazoa	Chordata	Aves	Passeriformes	Climacteridae	Climacteris	Climacteris rufus
UP000582182	Turnix velox	2529409	13120		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Turnicidae	Turnix	Turnix velox
UP000583049	Glareola pratincola	43316	13760		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Glareolidae	Glareola	Glareola pratincola
UP000583164	Rhabdornis inornatus	237438	14339		Unknown	Metazoa	Chordata	Aves	Passeriformes	Rhabdornithidae	Rhabdornis	Rhabdornis inornatus
UP000583496	Pomatostomus ruficeps	9176	13287		Unknown	Metazoa	Chordata	Aves	Passeriformes	Timaliidae	Pomatostomus	Pomatostomus ruficeps
UP000583613	Eubucco bourcierii	91767	14131		Unknown	Metazoa	Chordata	Aves	Piciformes	Ramphastidae	Eubucco	Eubucco bourcierii
UP000583740	Cardinalis cardinalis	98964	13821		Unknown	Metazoa	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis cardinalis
UP000583915	Sitta europaea	50251	13526		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sittidae	Sitta	Sitta europaea
UP000584326	Podargus strigoides	8905	13990		Unknown	Metazoa	Chordata	Aves	Caprimulgiformes	Podargidae	Podargus	Podargus strigoides
UP000584415	Platysteira castanea	1160851	13995		Unknown	Metazoa	Chordata	Aves	Passeriformes		Platysteira	Platysteira castanea
UP000584880	Ptilonorhynchus violaceus	28724	13901		Unknown	Metazoa	Chordata	Aves	Passeriformes	Ptilonorhynchidae	Ptilonorhynchus	Ptilonorhynchus violaceus
